se_setor	qu_setor	nome	
	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SETOR C NORTE		
	SETOR P NORTE		
	SETOR TRADICIONAL		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SETOR C SUL		
	SETOR C SUL		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SHIN		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SHIS		
	SH OURO VERMELHO II - FASE I E II		
	SHIS		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SETOR DE AREAS ESPECIAIS NORTE 1 BURITIS II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SETOR DE EXPANSAO ECONOMICA		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SOF SUL		
	SH OURO VERMELHO II - FASE I E II		
	SH OURO VERMELHO II - FASE I E II		
	SETOR OESTE		
	SETOR C SUL		
	SETOR N NORTE		
	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		
	SHIS		
	SHCSW		
	SHCSW		
	SETOR TRADICIONAL		
	SETOR P NORTE		
	SHIS		
	SITIO DO GAMA		
	SH SAO BARTOLOMEU TRECHO 1		
	SHIS		
	SH TORORO - ESTÂNCIA DEL REY		
	SOF SUL		
	SHIS		
	SHIN		
	SH TORORO - ESTÂNCIA DEL REY		
	SITIO DO GAMA		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SHIN		
	SITIO DO GAMA		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SETOR HABITACIONAL SOL NASCENTE		
	SITIO DO GAMA		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SITIO DO GAMA		
	SOF SUL		
	SHIN		
	SHIN		
	SCIA		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR DE INDUSTRIA		
	RIACHO FUNDO II		
	SETOR HABITACIONAL SOL NASCENTE		
	SHIS		
	SHIS		
	SHIS		
	SIA		
	SHIS		
	SHIS		
	SETOR HABITACIONAL SOL NASCENTE		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR RESIDENCIAL LESTE		
	SHIS		
	SHIS		
	SITIO DO GAMA		
	SHIS		
	SHIS		
	SETOR HABITACIONAL SOL NASCENTE		
	SRIA I		
	SITIO DO GAMA		
	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		
	SHIS		
	SHIS		
	SOF SUL		
	SHIS		
	SHIS		
	SHIS		
	SRIA I		
	SHIS		
	RIACHO FUNDO II		
	SRIA II		
	SRIA II		
	ADE OESTE		
	SHIS		
	SHIS		
	SHIS		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SHIS		
	SHIS		
	SHIN		
	SHIN		
	SHIS		
	SHIS		
	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		
	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		
	SHIS		
	SHIN		
	SHIN		
	SHIN		
	SITIO DO GAMA		
	SHIN		
	ADE POLO JK		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIN		
	RIACHO FUNDO II		
	SHIN		
	SHIN		
	SML		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SHIN		
	SETOR LESTE		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR LESTE		
	SETOR CENTRAL		
	SETOR CENTRAL		
	SETOR F SUL		
	SETOR B NORTE		
	SETOR B NORTE		
	SETOR F NORTE		
	SETOR E SUL		
	SETOR TRADICIONAL		
	SHIS		
	SOF SUL		
	SETOR F NORTE		
	VILA VICENTINA		
	SETOR A NORTE		
	SETOR CENTRAL		
	SETOR F NORTE		
	SETOR CENTRAL		
	SETOR B NORTE		
	SETOR B NORTE		
	SETOR C NORTE		
	SETOR C NORTE		
	SETOR C NORTE		
	SETOR B SUL		
	SETOR B SUL		
	SETOR C SUL		
	SETOR D SUL		
	SETOR P NORTE		
	SETOR M NORTE		
	SETOR DE EXPANSAO ECONOMICA		
	SETOR H NORTE		
	SETOR B SUL		
	CENTRO METROPOLITANO		
	SETOR B SUL		
	SETOR QI		
	SETOR G NORTE		
	CENTRO METROPOLITANO		
	SETOR RESIDENCIAL NORTE A		
	SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI		
	SETOR A NORTE		
	SETOR CENTRAL		
	SETOR C NORTE		
	SETOR O NORTE		
	SETOR QI		
	SETOR G NORTE		
	SETOR P NORTE		
	SETOR H NORTE		
	SETOR J NORTE		
	SETOR J NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR M NORTE		
	VILA VICENTINA		
	SETOR G NORTE		
	SETOR M NORTE		
	SETOR QI		
	VILA SAO JOSE		
	SCLS		
	SETOR DE AREAS ESPECIAIS NORTE 1 BURITIS II		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR DE EXPANSAO ECONOMICA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR O NORTE		
	SHCNW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SCLS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR DE INDUSTRIA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHCNW		
	SETOR DE INDUSTRIA		
	EXPANSAO URBANA SETOR OESTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	VILA METROPOLITANA		
	SHIGS		
	VPLA		
	SITIO DO GAMA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR N NORTE		
	SHCNW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR N NORTE		
	SETOR N NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR N NORTE		
	SETOR DE AREAS ISOLADAS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR SUL		
	SHIN		
	SETOR M NORTE		
	VILA SAO JOSE		
	VILA VICENTINA		
	VILA VICENTINA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	EXPANSAO URBANA SETOR OESTE		
	SETOR TRADICIONAL		
	SETOR DE AREAS ESPECIAIS NORTE 1 BURITIS II		
	SHIS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHIGS		
	SHCES		
	SETOR TRADICIONAL		
	SETOR P NORTE		
	SETOR TRADICIONAL		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR M NORTE		
	SHIS		
	SETOR RESIDENCIAL NORTE A		
	SDMC		
	SETOR INDUSTRIAL		
	SETOR DE INDUSTRIA		
	SAUS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	BAIRRO VEREDAS		
	SETOR DE INDUSTRIA		
	SETOR DE AREAS ISOLADAS		
	SETOR DE AREAS ISOLADAS		
	SETOR P NORTE		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	VILA METROPOLITANA		
	SHCNW		
	SETOR RESIDENCIAL LESTE		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR SUL		
	SETOR TRADICIONAL		
	SHCNW		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR N NORTE		
	SETOR TRADICIONAL		
	SETOR DE EXPANSAO ECONOMICA		
	VILA DNOCS		
	SETOR TRADICIONAL		
	SETOR N NORTE		
	SETOR RESIDENCIAL NORTE A		
	SETOR M NORTE		
	VILA METROPOLITANA		
	SETOR N NORTE		
	SITIO DO GAMA		
	SHCES		
	SETOR M NORTE		
	SETOR N NORTE		
	SETOR Q NORTE		
	SETOR M NORTE		
	SETOR M NORTE		
	SHCES		
	SETOR N NORTE		
	SHCNW		
	SETOR RESIDENCIAL NORTE A		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SRES		
	SETOR HABITACIONAL SOL NASCENTE		
	SHCES		
	RIACHO FUNDO II		
	SRES		
	SHCSW		
	SETOR N NORTE		
	SETOR DE INDUSTRIA		
	SETOR DE INDUSTRIA		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SETOR M NORTE		
	SHCNW		
	SHIS		
	SHCNW		
	SHCNW		
	SCLS		
	SCLN		
	SHPB		
	SH SAO BARTOLOMEU TRECHO 1		
	SDMC		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SH JARDIM BOTÂNICO - ETAPA 2		
	SH SAO BARTOLOMEU TRECHO 1		
	SETOR M NORTE		
	SETOR D NORTE		
	SHPB		
	SHPB		
	SITIO DO GAMA		
	VILA VICENTINA		
	SH TORORO - ESTÂNCIA DEL REY		
	SH TORORO / PARQUE DO MIRANTE		
	SITIO DO GAMA		
	SETOR RESIDENCIAL NORTE A		
	SHIS		
	SRIA I		
	SETOR B NORTE		
	SETOR H NORTE		
	ALDEIAS DO CERRADO		
	SH JARDIM BOTÂNICO - ETAPA 2		
	VILA METROPOLITANA		
	SH JARDIM BOTÂNICO - ETAPA 2		
	SHIS		
	SETOR OESTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHPB		
	SETOR P NORTE		
	SITIO DO GAMA		
	SH SAO BARTOLOMEU TRECHO 1		
	SHIS		
	SH SAO BARTOLOMEU/ QUINTAS DA ALVORADA		
	SHIN		
	SETOR M NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR TRADICIONAL		
	SETOR TRADICIONAL		
	SETOR N NORTE		
	SRIA II		
	SETOR G NORTE		
	SETOR G NORTE		
	SETOR INDUSTRIAL		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR RESIDENCIAL LESTE		
	SETOR O NORTE		
	BAIRRO CRIXÁ		
	SETOR LESTE		
	SH SAO BARTOLOMEU TRECHO 1		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SITIO DO GAMA		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SETOR J NORTE		
	SHIS		
	SHIS		
	VILA VICENTINA		
	SH TORORO / PARQUE DO MIRANTE		
	SHIS		
	BAIRRO CRIXÁ		
	BAIRRO CRIXÁ		
	SH SAO BARTOLOMEU TRECHO 1		
	SETOR P NORTE		
	SH SAO BARTOLOMEU TRECHO 1		
	SETOR LESTE		
	SH SAO BARTOLOMEU TRECHO 1		
	SHIS		
	SH SAO BARTOLOMEU TRECHO 1		
	SH SAO BARTOLOMEU TRECHO 1		
	SETOR N NORTE		
	SETOR L NORTE		
	BAIRRO CRIXÁ		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHIS		
	SETOR M NORTE		
	SH TORORO / PARQUE DO MIRANTE		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SH TORORO - ESTÂNCIA DEL REY		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SH TORORO / PARQUE DO MIRANTE		
	SETOR A NORTE		
	EXPANSAO URBANA SETOR OESTE		
	SITIO DO GAMA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SH TORORÓ JARDIM ATLÂNTICO SUL		
	SETOR HABITACIONAL SOL NASCENTE		
	BAIRRO CRIXÁ		
	SHIN		
	SETOR NORTE		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SETOR DE INDUSTRIA		
	Q CENTRAL SETOR HOTELEIRO		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SHIS		
	SHIS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SH TORORO - ESTÂNCIA DEL REY		
	Q CENTRAL SETOR RESIDENCIAL		
	SETOR DE EXPANSAO ECONOMICA		
	SHIS		
	SETOR DE INDUSTRIA		
	SETOR LESTE		
	SHIS		
	SETOR HABITACIONAL SOL NASCENTE		
	SETOR G NORTE		
	SETOR OESTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR P NORTE		
	VILA METROPOLITANA		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SH TORORO - ESTÂNCIA DEL REY		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR N NORTE		
	SITIO DO GAMA		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SETOR N NORTE		
	SETOR J NORTE		
	SETOR QI		
	SETOR N NORTE		
	SETOR O NORTE		
	SETOR DE INDUSTRIA		
	SETOR DE INDUSTRIA		
	SETOR D NORTE		
	SETOR M NORTE		
	RIACHO FUNDO II		
	SHVP - ETAPA 3 - CA. SAMAMBAIA		
	SHIS		
	BAIRRO CRIXÁ		
	SETOR B NORTE		
	SETOR C NORTE		
	SETOR M NORTE		
	SETOR B NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI		
	SETOR RESIDENCIAL LESTE		
	SETOR DE EXPANSAO ECONOMICA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SRIA I		
	SRIA II		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SETOR NORTE		
	SETOR DE INDUSTRIA		
	EXPANSAO DO SETOR O		
	SETOR M NORTE		
	SETOR N NORTE		
	SETOR N NORTE		
	SHIS		
	SETOR N NORTE		
	ADE		
	SETOR N NORTE		
	ALDEIAS DO CERRADO		
	SETOR O NORTE		
	RIACHO FUNDO II		
	SHIS		
	ALDEIAS DO CERRADO		
	ALDEIAS DO CERRADO		
	SHIS		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SITIO DO GAMA		
	SCIA		
	RIACHO FUNDO II		
	SHIS		
	SETOR TRADICIONAL		
	SITIO DO GAMA		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SRIA I		
	VILA VICENTINA		
	SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI		
	SHIS		
	SHIS		
	SETOR O NORTE		
	SHIS		
	SETOR OESTE		
	SETOR E SUL		
	SETOR D SUL		
	SHIS		
	SHIS		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	VILA VICENTINA		
	SITIO DO GAMA		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SETOR HABITACIONAL SOL NASCENTE		
	SITIO DO GAMA		
	SHIS		
	SITIO DO GAMA		
	ADE OESTE		
	SETOR HABITACIONAL SOL NASCENTE		
	ALDEIAS DO CERRADO		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SITIO DO GAMA		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SETOR HABITACIONAL SOL NASCENTE		
	SHIS		
	SHIS		
	SITIO DO GAMA		
	SHIS		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SHIN		
	SML		
	SHIN		
	SHIN		
	SHIN		
	SIA		
	SIA		
	SETOR OESTE		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR NORTE		
	SETOR CENTRAL		
	SETOR OESTE		
	SETOR LESTE		
	SHIS		
	SETOR M NORTE		
	SETOR LESTE		
	SETOR CENTRAL		
	SETOR F SUL		
	SETOR E SUL		
	SETOR C NORTE		
	SITIO DO GAMA		
	SETOR L NORTE		
	SETOR L NORTE		
	SETOR M NORTE		
	SETOR L NORTE		
	SETOR F SUL		
	SETOR H NORTE		
	SETOR CENTRAL		
	SETOR H NORTE		
	SETOR B SUL		
	SETOR N NORTE		
	SETOR B NORTE		
	SETOR D SUL		
	SETOR D SUL		
	SETOR M NORTE		
	SETOR N NORTE		
	SETOR B SUL		
	SETOR C SUL		
	SDMC		
	SETOR F NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR DE DESENVOLVIMENTO ECONOMICO		
	SETOR DE DESENVOLVIMENTO ECONOMICO		
	SETOR DE DESENVOLVIMENTO ECONOMICO		
	SETOR QI		
	CENTRO METROPOLITANO		
	SETOR G NORTE		
	SETOR E NORTE		
	SETOR M NORTE		
	SETOR G NORTE		
	SETOR INDUSTRIAL		
	SETOR DE INDUSTRIA		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR N NORTE		
	SDMC		
	SETOR M NORTE		
	SETOR QI		
	SETOR QI		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR P NORTE		
	SETOR DE INDUSTRIA		
	SETOR DE AREAS ISOLADAS		
	SETOR M NORTE		
	SETOR DE INDUSTRIA		
	SETOR N NORTE		
	RIACHO FUNDO II		
	SETOR P NORTE		
	SETOR N NORTE		
	EXPANSAO URBANA SETOR OESTE		
	SETOR N NORTE		
	RIACHO FUNDO II		
	SETOR RESIDENCIAL LESTE		
	SETOR DE INDUSTRIA		
	VILA METROPOLITANA		
	SETOR RESIDENCIAL NORTE A		
	SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI		
	VILA METROPOLITANA		
	SETOR INDUSTRIAL BERNARDO SAYAO		
	VILA METROPOLITANA		
	SETOR P NORTE		
	SETOR N NORTE		
	SETOR N NORTE		
	SETOR P NORTE		
	SETOR P NORTE		
	EXPANSAO DO SETOR O		
	SETOR N NORTE		
	SETOR M NORTE		
	ALDEIAS DO CERRADO		
	SHIS		
	SHIS		
	SETOR G NORTE		
	SETOR C SUL		
	SHIS		
	SHIS		
	SETOR P NORTE		
	SETOR O NORTE		
	ADE		
	SHIS		
	SRIA II		
	ALDEIAS DO CERRADO		
	SHIS		
	SETOR HABITACIONAL ALTO DA BOA VISTA		
	SHIN		
	SHIN		
	SRIA I		
	ADE OESTE		
	ADE OESTE		
	ADE OESTE		
	SHIN		
	ADE OESTE		
	SITIO DO GAMA		
	SHIS		
	SHIN		
	SOF SUL		
	ADE OESTE		
	SETOR D NORTE		
	SETOR G NORTE		
	SHIN		
	ADE OESTE		
	SETOR C NORTE		
	SETOR C SUL		
	SRIA I		
	SETOR CENTRAL		
	SETOR D SUL		
	SHIN		
	SHIN		
	SHIN		
	SHIS		
	SITIO DO GAMA		
	SETOR LESTE		
	SHIS		
	SETOR B NORTE		
	SETOR D SUL		
	SETOR G NORTE		
	SCIA		
	SETOR G SUL		
	SETOR CENTRAL		
	SITIO DO GAMA		
	SHIS		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SETOR G SUL		
	SHIS		
	SHIS		
	ADE		
	SETOR LESTE		
	SETOR C NORTE		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SITIO DO GAMA		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SHIS		
	SRIA II		
	STRC		
	SETOR LESTE		
	SETOR LESTE		
	SETOR CENTRAL		
	SETOR A SUL		
	SETOR QI		
	SRIA I		
	SETOR F SUL		
	SETOR P NORTE		
	SETOR DE INDUSTRIA		
	SML		
	SML		
	SHIS		
	SML		
	SCIA		
	SCIA		
	SETOR CENTRAL		
	SIA		
	SETOR SUL		
	SHIS		
	SIA		
	SOF SUL		
	SETOR D SUL		
	SETOR G NORTE		
	SETOR B SUL		
	SETOR A NORTE		
	SETOR B NORTE		
	SETOR D NORTE		
	SETOR QI		
	SETOR D NORTE		
	SRIA II		
	SETOR E NORTE		
	SETOR J NORTE		
	SETOR D NORTE		
	CENTRO METROPOLITANO		
	SETOR Q NORTE		
	SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SRIA I		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	VILA METROPOLITANA		
	SETOR O NORTE		
	SHIN		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	RIACHO FUNDO II		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	QELC VILA TECNOLOGICA		
	SHIN		
	SRIA II		
	SRIA I		
	SRIA II		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SHIN		
	SDMC		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	RIACHO FUNDO II		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SRIA II		
	SRIA I		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR P NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SRIA I		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	RIACHO FUNDO II		
	SETOR N NORTE		
	SETOR N NORTE		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
	EXPANSAO URBANA SETOR OESTE		
	BAIRRO VEREDAS		
	SETOR NORTE		
	SETOR NORTE		
	SETOR SUL		
	SRIA II		
	SETOR DE AREAS ISOLADAS		
	SHIS		
	SETOR DE AREAS ESPECIAIS NORTE 1 BURITIS II		
	SETOR M NORTE		
	SETOR RESIDENCIAL LESTE		
	SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI		
	SHIN		
	SETOR B SUL		
	SRIA II		
	SRIA I		
	SETOR HABITACIONAL SOL NASCENTE		
	VPLA		
	SHIS		
	SHIS		
	SRIA II		
	SRIA I		
	ADE		
	SETOR N NORTE		
	SOF SUL		
	SETOR HABITACIONAL SOL NASCENTE		
	SRIA I		
	SRIA II		
	SRIA II		
	QELC VILA TECNOLOGICA		
	SDMC		
	SETOR M NORTE		
	SETOR O NORTE		
	SHIN		
	SOF SUL		
	SRIA I		
	SETOR HABITACIONAL SOL NASCENTE		
	QELC VILA TECNOLOGICA		
	RIACHO FUNDO II		
	SHIN		
	SHIS		
	SHIN		
	SRIA II		
	SRIA II		
	SRIA II		
	SRIA II		
	SRIA II		
	SHIN		
	QELC		
	QELC		
	SRIA II		
	SRIA II		
	SRIA I		
	QELC		
	SRIA I		
	SRIA I		
	ALDEIAS DO CERRADO		
	RIACHO FUNDO II		
	RIACHO FUNDO II		
	RIACHO FUNDO II		
	SRIA I		
	SRIA II		
	QELC		
	QELC VILA TECNOLOGICA		
	SRIA II		
	SRIA I		
	SRIA I		
	SRIA I		
	SRIA II		
	SOF SUL		
	SRIA II		
	SRIA II		
	SHIN		
	SRIA I		
	SRIA II		
	SRIA II		
	SITIO DO GAMA		
	SRIA II		
	SOF SUL		
	QELC		
	QELC		
	SRIA I		
	SRIA I		
	SRIA II		
	SRIA II		
	SHIN		
	SRIA II		
	SOF SUL		
	SOF SUL		
	SRIA I		
	SRIA I		
